objID,usno_b1_id,USNORa,USNODec,PannRa,PannDec,red1mag,red2mag,blue1mag,blue2mag,pmRa,pmDec,diff,indexData
130752247674830696,1089-0233666,224.76518,18.95839,224.76747,18.95833,?,20.12,20.65,?,0,0,0.00229,788
130952241701923783,1091-0231894,224.17082,19.1313,224.17019,19.12769,19.39,19.74,?,21.10,0,0,0.00366,789
131732236763583874,1097-0230824,223.68965,19.77653,223.67622,19.7779,19.67,20.06,?,21.46,-240,-298,0.0135,790
131012233464476141,1091-0230921,223.34831,19.18434,223.34644,19.17966,?,18.93,?,19.08,-440,294,0.00504,791
130162234373510414,1084-0240432,223.43568,18.46694,223.43732,18.46656,18.86,?,?,?,0,0,0.00168,792
130222241571727402,1085-0233627,224.16203,18.52287,224.1572,18.52246,19.94,?,?,?,0,0,0.00485,793
130022243714951881,1083-0252270,224.37604,18.35829,224.37151,18.3511,19.98,20.60,?,?,0,0,0.0085,794
130312232932240759,1085-0232605,223.29364,18.58894,223.29324,18.59188,19.81,?,?,?,0,0,0.00297,795
130842231844658022,1090-0231543,223.18589,19.03666,223.18446,19.03961,17.37,?,18.88,?,0,0,0.00328,796
129782247179684123,1081-0267004,224.71765,18.15003,224.71803,18.15308,?,20.87,20.94,?,0,0,0.00307,797
130472231205878516,1087-0231839,223.12494,18.72724,223.12053,18.73165,?,19.77,?,19.87,0,0,0.00624,798
129692235036255980,1080-0266188,223.50194,18.08035,223.50359,18.07957,19.59,?,?,21.48,0,0,0.00183,799
131912242202101107,1099-0232521,224.22315,19.92799,224.22032,19.92557,19.76,19.15,?,?,-380,120,0.00372,800
129722237071636993,1081-0266030,223.70794,18.10774,223.70711,18.10532,18.40,?,?,?,0,0,0.00256,801
131462230797325101,1095-0229802,223.08246,19.55603,223.07985,19.55393,?,20.99,?,21.57,0,0,0.00335,802
131482230393608829,1095-0229758,223.04258,19.56946,223.03931,19.57358,?,20.88,21.07,?,0,0,0.00526,803
130152245138913644,1084-0241593,224.50786,18.46428,224.51393,18.46085,20.02,20.99,?,?,0,0,0.00697,804
129952230946593050,1082-0260449,223.09507,18.2952,223.09463,18.29372,18.91,?,21.01,?,322,-138,0.00154,805
129812236030106240,1081-0265947,223.6082,18.17762,223.60301,18.1798,19.77,?,20.97,?,0,0,0.00563,806
130332245131514373,1086-0234948,224.51535,18.6131,224.51306,18.61151,20.01,?,18.95,?,0,0,0.00279,807
130562241943183849,1088-0232341,224.18882,18.80393,224.19414,18.80267,19.84,?,?,?,0,0,0.00547,808
130052241415216428,1083-0252010,224.14281,18.379,224.14146,18.37994,?,20.71,20.90,?,0,0,0.00165,809
131522235061709747,1096-0229963,223.50532,19.60557,223.50616,19.60769,19.03,?,?,?,0,0,0.00228,810
130682236482328212,1089-0232485,223.64863,18.90806,223.64816,18.90646,?,20.50,21.08,21.39,204,526,0.00167,811
130592235181329468,1088-0231570,223.51689,18.83414,223.51818,18.83257,?,20.71,21.00,?,0,0,0.00203,812
130472241783708030,1087-0232948,224.17546,18.73089,224.17826,18.73125,19.43,?,20.14,?,0,0,0.00282,813
131502247678635080,1095-0231400,224.76769,19.58484,224.76772,19.587,?,?,18.80,14.92,0,0,0.00216,814
129632242866667442,1080-0267039,224.28985,18.03077,224.2867,18.03077,19.63,20.57,?,20.73,0,0,0.00315,815
